Name,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10
Image176,1,17,31,11,53,115,3,68,1,10
Image177,5,10,211,3,63,1,1,13,1,2
Image178,1,5,81,1,1,1,1,217,1,1
Image179,23,8,91,2,109,1,7,2,66,1
Image180,10,44,55,73,76,33,16,1,1,1
Image181,1,11,1,1,155,91,18,30,1,1
Image182,4,1,3,1,127,92,1,74,1,6
Image183,1,32,53,68,1,1,5,73,1,75
Image184,1,40,53,5,60,87,1,61,1,1
Image185,2,32,5,52,1,105,32,50,1,30
Image186,5,1,32,1,35,96,1,137,1,1
Image187,5,19,112,8,25,55,18,63,3,2
Image188,1,5,54,1,1,104,1,141,1,1
Image189,1,5,52,1,141,66,1,24,1,18
Image190,1,1,40,1,161,13,1,90,1,1
Image191,4,4,20,152,1,1,100,1,26,1
Image192,43,4,78,18,3,61,5,65,32,1
Image193,1,47,1,25,1,108,8,117,1,1
Image194,1,4,6,1,1,133,1,161,1,1
Image195,1,7,7,1,1,131,1,156,1,4
Image196,4,4,62,1,1,82,1,150,1,4
Image197,1,1,11,1,1,91,1,201,1,1
Image198,1,1,14,1,25,87,1,177,1,2
Image199,1,15,7,1,68,37,20,152,1,8
Image200,1,19,32,2,1,1,1,130,1,122
Image201,1,14,39,3,1,84,7,159,1,1
Image202,1,41,1,5,1,109,12,138,1,1
Image203,27,1,1,60,1,1,5,1,212,1
Image204,1,26,70,38,1,21,48,68,1,36
Image205,2,15,1,56,1,139,2,88,1,5
Image206,1,21,1,6,1,131,3,18,1,127
Image207,3,6,66,20,3,136,4,45,1,26
Image208,1,1,1,1,1,276,1,19,1,8
Image209,18,10,37,135,1,1,22,1,24,61
Image210,1,1,3,1,1,128,1,172,1,1
Image211,1,1,210,1,7,59,1,28,1,1
Image212,2,19,135,88,1,18,40,1,1,5
Image213,1,1,81,1,1,114,1,108,1,1
Image214,4,34,57,1,1,14,58,139,1,1
Image215,1,48,1,22,1,3,2,230,1,1
Image216,1,31,1,1,1,74,1,198,1,1
Image217,12,5,41,4,48,105,4,86,3,2
Image218,18,3,107,53,22,44,19,41,2,1
Image219,43,15,116,9,1,17,28,79,1,1
Image220,1,17,20,7,1,42,1,215,1,5
Image221,31,1,1,86,1,1,52,1,135,1
Image222,17,7,78,1,19,65,38,81,3,1
Image223,16,31,15,3,2,183,6,34,8,12
Image224,5,56,30,20,1,65,68,13,1,51
Image225,1,68,12,7,1,59,2,30,1,129
Image226,1,13,2,75,1,51,24,68,1,74
Image227,5,29,48,11,1,13,8,46,2,147
Image228,11,30,82,1,3,65,1,61,1,55
Image229,27,28,196,19,26,1,4,1,7,1
Image230,76,18,19,5,120,1,3,63,1,4
Image231,2,26,91,43,8,19,47,35,1,38
Image232,11,8,8,2,4,222,13,39,1,2
Image233,4,26,9,4,126,54,1,41,1,44
Image234,1,21,61,6,1,41,2,36,1,140
Image235,1,8,2,1,1,167,1,99,1,29
Image236,48,1,1,242,1,1,12,1,2,1
Image237,2,31,6,56,1,170,4,17,1,22
Image238,35,9,3,118,1,2,53,1,35,53
Image239,1,46,71,71,1,4,28,10,1,77
Image240,40,5,1,110,11,1,51,20,36,35
Image241,1,9,77,1,1,62,1,151,1,6
Image242,37,20,1,110,1,13,55,45,4,24
Image243,1,14,1,7,1,205,1,75,1,4
Image244,1,89,29,9,1,55,5,93,1,27
Image245,1,1,1,97,1,1,1,1,184,22
Image246,78,3,6,11,12,48,9,98,40,5
Image247,1,1,76,1,21,20,1,187,1,1
Image248,2,7,11,98,1,1,6,1,182,1
Image249,3,15,84,5,93,14,16,75,1,4
Image250,6,19,146,24,30,23,9,48,1,4
Image251,2,1,31,1,32,126,3,112,1,1
Image252,61,3,70,1,77,15,26,55,1,1
Image253,1,1,1,1,1,1,1,1,301,1
Image254,47,1,1,3,1,1,1,1,237,17
Image255,112,1,1,9,1,1,1,1,180,3
Image256,6,1,1,1,1,1,1,1,296,1
Image257,1,3,1,136,1,1,67,1,98,1
Image258,53,1,1,1,1,1,3,1,247,1
Image259,41,1,1,107,1,1,87,1,65,5
Image260,38,8,28,108,1,1,24,7,4,91
Image261,1,1,1,140,1,1,1,1,118,45
Image262,1,21,58,1,1,104,1,106,1,16
Image263,1,14,46,24,1,101,14,36,1,72
Image264,2,18,14,238,1,1,14,1,9,12
Image265,1,64,65,60,1,31,3,29,1,55
Image266,73,1,1,116,1,1,4,1,108,4
Image267,103,4,1,64,1,20,6,49,1,61
Image268,1,14,28,9,1,20,7,114,1,115
Image269,1,39,90,3,65,1,1,107,1,2
Image270,19,3,5,3,97,18,2,161,1,1
Image271,8,47,33,108,2,3,8,72,4,25
Image272,8,51,103,48,17,4,2,53,14,10
Image273,1,12,47,2,3,83,4,156,1,1
Image274,1,17,22,11,1,103,14,98,1,42
Image275,1,24,34,6,1,91,3,140,1,9
Image276,15,28,77,22,1,28,5,126,7,1
Image277,48,27,60,63,5,1,29,75,1,1
Image278,6,20,65,4,1,105,11,96,1,1
Image279,38,17,95,25,1,75,22,27,1,9
Image280,1,6,135,2,1,104,1,58,1,1
Image281,1,3,115,1,1,133,1,53,1,1
Image282,1,10,1,1,1,126,1,167,1,1
Image283,1,73,22,1,1,69,7,134,1,1
Image284,23,10,70,1,26,42,53,82,1,2
Image285,2,20,65,1,1,137,53,28,1,2
Image286,1,1,85,1,1,146,8,56,1,10
Image287,3,6,97,50,71,7,18,25,1,32
Image288,1,4,36,1,141,10,1,92,1,23
Image289,1,4,98,1,150,15,1,37,1,2
Image290,5,21,133,32,47,1,55,11,1,4
Image291,48,16,69,28,1,7,52,25,43,21
Image292,22,13,82,7,44,20,16,56,7,43
Image293,44,30,89,1,87,7,40,10,1,1
Image294,46,8,67,6,68,13,83,17,1,1
Image295,3,3,18,2,190,73,11,8,1,1
Image296,60,1,3,1,177,53,4,9,1,1
Image297,1,21,6,37,1,156,1,84,1,2
Image298,1,9,7,1,1,88,1,200,1,1
Image299,1,5,3,1,1,163,22,94,1,19
Image300,1,16,45,2,15,56,2,171,1,1
Image301,1,31,10,11,3,96,51,48,1,58
Image302,1,44,41,40,1,1,98,32,1,51
Image303,7,16,7,158,4,1,91,9,1,16
Image304,105,1,2,80,3,3,14,1,61,40
Image305,1,31,73,22,6,10,6,135,1,25
Image306,1,23,85,27,8,45,3,109,1,8
Image307,1,32,53,7,2,68,1,144,1,1
Image308,1,1,31,1,29,157,1,83,1,5
Image309,1,49,91,25,1,36,2,41,1,63
Image310,12,4,1,78,1,1,151,1,1,60
Image311,1,3,4,3,1,121,1,172,1,3
Image312,7,9,14,1,1,110,51,114,1,2
Image313,17,16,2,87,1,44,26,102,14,1
Image314,1,17,1,73,1,85,2,127,1,2
Image315,1,18,55,1,1,27,2,203,1,1
Image316,1,26,1,20,1,108,13,26,1,113
Image317,3,19,23,189,1,1,10,62,1,1
Image318,1,40,1,29,1,111,30,2,1,94
Image319,39,35,8,77,1,5,12,2,1,130
Image320,1,2,20,1,1,225,5,53,1,1
Image321,1,7,96,1,1,155,11,36,1,1
Image322,9,5,7,9,136,30,19,93,1,1
Image323,67,26,38,5,5,87,1,68,1,12
Image324,1,21,22,1,93,80,1,82,1,8
Image325,1,1,24,1,72,1,1,207,1,1
Image326,1,1,41,78,1,26,82,1,1,78
Image327,1,15,32,1,1,106,1,151,1,1
Image328,45,11,1,7,1,1,133,21,2,88
Image329,20,23,42,47,1,44,60,31,2,40
Image330,89,1,1,94,1,1,32,1,57,33
Image331,1,22,69,47,1,1,113,6,1,49
Image332,11,1,1,85,1,1,149,1,2,58
Image333,14,1,1,224,1,1,57,1,9,1
Image334,34,1,1,189,1,1,1,1,80,1
Image335,1,1,1,90,1,1,172,1,1,41
Image336,1,5,152,123,2,1,23,1,1,1
Image337,1,1,1,7,1,2,1,1,277,18
Image338,4,1,1,271,1,1,2,1,27,1
Image339,45,2,1,147,1,1,35,1,65,12
Image340,42,3,10,178,1,1,51,1,22,1
Image341,1,1,1,156,1,1,1,1,110,37
Image342,22,1,1,151,1,1,4,1,107,21
Image343,19,1,1,145,1,1,101,1,18,22
Image344,54,1,1,16,1,1,4,1,230,1
Image345,4,4,20,113,1,1,140,1,1,25
Image346,1,49,99,38,1,16,3,69,3,31
Image347,1,20,206,34,22,1,1,17,7,1
Image348,1,1,1,190,1,1,111,1,2,1
Image349,12,1,48,107,1,1,116,1,1,22
Image350,70,6,36,49,63,1,5,1,78,1
Image351,1,31,109,3,5,1,53,101,1,5
Image352,11,1,1,76,1,1,2,1,215,1
Image353,12,54,94,51,1,1,69,7,12,9
Image354,71,1,1,81,1,1,55,1,77,21
Image355,30,1,1,140,1,1,56,1,27,52
Image356,3,1,1,5,1,1,1,1,293,3
Image357,1,1,13,115,1,1,175,1,1,1
Image358,49,1,7,61,2,1,89,1,97,2
Image359,19,4,29,85,12,1,12,1,146,1
Image360,23,116,6,144,1,1,12,4,1,2
Image361,1,16,2,197,1,2,81,1,1,8
Image362,45,2,1,175,1,1,61,1,1,22
Image363,9,1,1,274,1,1,16,1,1,5
Image364,7,20,14,198,1,6,45,1,1,17
Image365,1,102,7,92,1,17,25,47,1,17
Image366,36,4,1,217,1,1,47,1,1,1
Image367,58,14,8,113,1,3,77,8,1,27
Image368,40,1,14,74,1,1,170,1,6,2
Image369,163,2,1,32,1,2,15,1,92,1
Image370,123,14,11,74,1,1,54,3,23,6
Image371,33,3,5,12,1,1,251,1,2,1
Image372,115,1,45,2,1,1,118,1,24,2
Image373,13,5,220,1,1,2,26,40,1,1
Image374,144,39,16,30,1,1,66,1,7,5
Image375,33,11,150,1,6,17,64,23,1,4
Image376,3,1,224,1,31,8,7,25,9,1
Image377,26,2,1,30,1,1,246,1,1,1
Image378,49,2,13,25,1,1,216,1,1,1
Image379,189,7,1,47,1,13,10,2,13,27
Image380,50,16,76,11,1,1,138,15,1,1
Image381,201,9,1,16,1,1,53,1,18,9
Image382,215,10,1,1,1,1,76,1,3,1
Image383,6,19,124,7,1,26,73,49,1,4
Image384,132,4,3,26,1,1,73,1,68,1
Image385,168,1,1,71,1,1,1,1,61,4
Image386,14,13,92,9,1,30,121,28,1,1
Image387,138,1,1,152,1,1,3,1,11,1
Image388,35,15,1,205,1,10,16,1,14,12
Image389,59,19,19,40,1,1,153,16,1,1
Image390,139,3,2,15,1,3,68,1,49,29
Image391,66,1,22,124,1,1,39,1,54,1
Image392,71,4,11,9,1,14,45,20,134,1
Image393,5,10,117,18,7,31,88,32,1,1
Image394,40,4,72,4,1,1,175,8,3,2
Image395,125,1,3,17,1,1,146,1,14,1
Image396,21,3,1,224,1,1,36,1,21,1
Image397,209,3,1,29,1,1,47,1,17,1
Image398,85,6,16,9,1,1,188,2,1,1
Image399,72,1,2,2,1,1,47,1,182,1
Image400,131,2,2,7,1,1,10,3,148,5
Image401,6,1,2,127,1,1,169,1,1,1
Image402,12,15,6,111,1,1,120,1,1,42
Image403,2,32,38,12,1,19,166,27,1,12
Image404,7,13,46,204,1,1,34,1,2,1
Image405,9,12,8,183,1,1,11,1,6,78
Image406,53,4,1,191,1,1,20,1,37,1
Image407,29,1,1,192,1,1,2,1,78,4
Image408,1,106,4,6,1,143,14,28,1,6
Image409,63,42,3,142,1,1,39,14,4,1
Image410,81,41,4,51,1,1,117,1,5,8
Image411,77,30,1,28,33,1,1,1,134,4
