Name,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10
Image1148,1,4,22,110,112,1,27,31,1,1
Image1149,22,7,27,2,46,23,22,69,79,13
Image1150,6,13,1,34,1,152,3,95,2,3
Image1151,19,36,1,43,1,127,28,38,1,16
Image1152,7,77,15,70,2,60,6,33,1,39
Image1153,12,13,21,72,10,6,1,159,1,15
Image1154,30,18,31,109,18,23,8,60,6,7
Image1155,1,9,56,1,142,10,2,87,1,1
Image1156,1,133,15,6,43,32,29,46,1,4
Image1157,65,11,1,81,1,1,16,119,14,1
Image1158,1,52,7,24,1,149,52,11,1,12
Image1159,10,8,2,5,1,95,107,76,1,5
Image1160,1,9,23,1,78,1,10,113,1,73
Image1161,19,1,1,93,1,15,5,51,70,54
Image1162,3,25,2,7,2,42,94,133,1,1
Image1163,38,4,1,74,1,101,4,76,10,1
Image1164,32,12,1,175,1,40,38,1,9,1
Image1165,22,27,2,78,1,1,60,56,1,62
Image1166,27,38,49,55,1,7,37,57,1,38
Image1167,23,5,1,9,1,32,121,24,1,93
Image1168,1,24,10,67,34,47,7,70,1,49
Image1169,1,60,4,44,39,26,7,93,1,35
Image1170,1,64,1,1,63,59,1,104,1,15
Image1171,1,50,73,12,1,82,60,14,1,16
Image1172,1,37,22,61,1,75,10,101,1,1
Image1173,1,57,50,5,1,42,87,5,1,61
Image1174,1,41,77,33,1,116,20,17,1,3
Image1175,2,12,69,90,1,1,11,122,1,1
Image1176,1,24,22,1,1,115,69,75,1,1
Image1177,84,1,20,67,58,1,10,54,14,1
Image1178,12,4,1,170,1,80,21,1,1,19
Image1179,86,2,1,84,1,11,15,63,13,34
Image1180,20,16,1,165,1,30,24,39,1,13
Image1181,1,9,103,1,48,7,1,130,1,9
Image1182,107,12,17,13,37,1,29,25,43,26
Image1183,100,3,2,65,1,39,7,25,31,37
Image1184,22,32,42,3,6,10,72,91,2,30
Image1185,12,19,1,146,1,87,22,5,1,16
Image1186,1,1,141,1,72,3,1,88,1,1
Image1187,1,6,59,122,15,1,34,70,1,1
Image1188,1,5,2,92,1,20,94,93,1,1
Image1189,1,7,26,104,1,47,91,11,1,21
Image1190,1,12,2,55,1,1,135,96,1,6
Image1191,28,4,5,85,105,11,4,33,3,32
Image1192,1,14,36,122,37,3,39,56,1,1
Image1193,11,12,4,160,50,1,25,42,1,4
Image1194,21,7,68,71,4,4,58,71,1,5
Image1195,24,4,2,114,21,1,69,73,1,1
Image1196,1,3,9,103,1,41,118,1,1,32
Image1197,94,33,1,1,1,26,131,14,1,8
Image1198,17,9,3,35,1,80,137,26,1,1
Image1199,2,10,1,126,1,62,73,28,1,6
Image1200,17,12,21,56,20,110,36,36,1,1
Image1201,1,13,18,22,1,133,112,8,1,1
Image1202,14,9,20,34,3,35,124,27,1,43
Image1203,99,20,29,31,2,37,8,17,64,3
Image1204,1,20,12,3,1,65,4,48,1,155
Image1205,1,34,59,2,14,4,1,118,1,76
Image1206,1,3,211,1,1,82,1,8,1,1
Image1207,1,3,15,1,1,14,198,75,1,1
Image1208,1,30,27,26,1,41,124,10,1,49
Image1209,1,13,7,1,1,36,199,1,1,50
Image1210,59,1,13,40,56,103,31,5,1,1
Image1211,10,5,5,132,75,1,58,22,1,1
Image1212,2,2,50,1,35,15,142,61,1,1
Image1213,1,6,1,40,1,88,96,73,1,3
Image1214,1,13,9,22,15,9,155,84,1,1
Image1215,1,79,49,22,1,80,52,22,3,1
Image1216,18,8,85,4,8,70,43,72,1,1
Image1217,51,18,7,40,2,2,126,27,12,25
Image1218,77,3,2,7,1,3,5,30,181,1
Image1219,3,10,1,132,1,1,1,157,1,3
Image1220,2,79,65,51,2,1,62,41,1,6
Image1221,77,3,5,43,20,79,35,37,10,1
Image1222,13,4,28,3,162,8,44,45,1,2
Image1223,46,43,14,67,18,10,7,67,31,7
Image1224,8,9,95,172,4,1,16,3,1,1
Image1225,4,39,25,12,1,54,68,91,1,15
Image1226,34,3,1,21,1,1,36,6,178,29
Image1227,44,16,2,114,1,1,87,27,1,17
Image1228,54,10,7,11,1,8,33,116,5,65
Image1229,64,6,9,84,1,28,23,1,48,46
Image1230,36,3,8,10,1,40,10,15,143,44
Image1231,55,1,34,69,7,1,124,7,2,10
Image1232,111,9,4,44,1,76,30,33,1,1
Image1233,64,10,4,8,1,104,27,1,90,1
Image1234,82,7,15,1,30,110,14,1,49,1
Image1235,59,5,6,11,1,143,22,24,38,1
Image1236,1,2,1,134,1,160,1,1,1,8
Image1237,1,6,87,1,1,95,1,108,1,9
Image1238,1,28,5,76,1,54,30,7,1,107
Image1239,13,18,1,1,1,143,116,15,1,1
Image1240,16,6,1,120,1,136,1,1,23,5
Image1241,1,1,1,62,1,28,1,3,65,147
Image1242,107,22,23,27,1,39,9,1,18,63
Image1243,81,20,9,16,1,57,2,34,62,28
Image1244,29,6,17,52,1,71,99,22,1,12
Image1245,76,11,1,47,1,80,84,8,1,1
Image1246,1,9,17,18,1,84,168,10,1,1
Image1247,148,16,2,8,1,87,38,6,1,3
Image1248,9,6,32,8,1,76,169,7,1,1
Image1249,55,15,10,22,22,24,43,58,56,5
Image1250,24,36,28,13,1,54,82,62,1,9
Image1251,50,7,33,63,34,34,48,39,1,1
Image1252,27,12,4,120,68,1,33,8,4,33
Image1253,119,7,4,11,48,34,52,33,1,1
Image1254,22,42,58,57,4,46,37,42,1,1
Image1255,139,2,42,1,2,54,11,40,11,8
Image1256,98,10,2,95,1,61,5,2,35,1
Image1257,32,4,31,7,1,106,43,63,22,1
Image1258,51,1,27,1,3,95,36,76,19,1
Image1259,66,1,9,3,45,1,1,69,114,1
Image1260,53,15,15,72,10,33,12,69,28,3
Image1261,44,10,11,51,1,9,3,173,2,6
Image1262,1,13,42,4,22,61,2,146,1,18
Image1263,19,1,35,1,2,78,3,25,116,30
Image1264,134,1,6,1,32,37,1,80,17,1
Image1265,29,1,17,22,19,100,6,77,37,2
Image1266,44,6,11,1,117,95,9,9,1,17
Image1267,24,12,79,2,25,44,1,17,32,74
Image1268,59,4,2,93,3,29,1,70,35,14
Image1269,15,7,8,103,43,116,1,15,1,1
Image1270,1,9,12,51,12,37,1,39,144,4
Image1271,43,6,11,32,1,154,13,26,21,3
Image1272,36,12,40,54,1,34,35,4,45,49
Image1273,18,59,13,79,1,78,25,8,4,25
Image1274,67,23,12,30,2,116,8,39,12,1
Image1275,10,6,6,11,27,74,11,62,99,4
Image1276,31,15,3,43,1,81,59,1,75,1
Image1277,90,7,3,35,39,34,6,8,87,1
Image1278,78,20,25,4,1,56,24,12,76,14
Image1279,22,7,1,42,1,54,47,3,132,1
Image1280,84,8,37,7,7,84,78,2,1,2
Image1281,67,23,2,3,1,4,29,99,81,1
Image1282,40,6,12,6,1,38,34,48,114,11
Image1283,100,23,1,1,1,88,30,13,52,1
Image1284,38,3,16,114,26,8,36,51,1,17
Image1285,104,10,7,77,27,12,20,19,33,1
Image1286,119,3,11,54,6,34,1,4,73,5
Image1287,117,9,14,18,100,1,27,16,7,1
Image1288,44,1,11,1,80,2,1,15,154,1
Image1289,36,5,3,53,5,31,3,99,71,4
Image1290,4,1,40,1,41,1,1,21,199,1
Image1291,5,22,23,58,1,1,12,95,11,82
Image1292,76,6,11,19,1,8,23,11,134,21
Image1293,25,11,12,7,1,26,10,8,209,1
Image1294,17,10,2,128,2,102,3,44,1,1
Image1295,55,4,16,44,2,84,75,28,1,1
Image1296,1,56,63,4,1,57,29,97,1,1
Image1297,33,29,49,9,1,11,38,81,4,55
Image1298,1,13,165,1,1,53,4,70,1,1
Image1299,109,13,34,13,2,44,5,26,63,1
Image1300,68,40,77,24,2,26,3,22,47,1
Image1301,75,21,78,1,1,69,21,28,15,1
Image1302,46,45,2,42,1,15,33,10,16,100
Image1303,1,1,188,1,1,72,7,37,1,1
Image1304,47,23,2,61,1,55,12,30,77,2
Image1305,1,12,85,21,1,28,31,109,1,21
Image1306,9,7,44,82,1,84,48,33,1,1
Image1307,11,22,2,21,1,32,81,137,2,1
Image1308,112,16,6,4,2,50,34,84,1,1
Image1309,12,24,35,211,1,1,18,1,1,6
Image1310,1,13,20,183,1,35,27,21,1,8
Image1311,1,10,1,167,1,60,10,58,1,1
Image1312,15,6,7,182,1,61,10,1,8,19
Image1313,1,16,1,70,1,19,156,16,1,29
Image1314,34,13,54,35,10,72,18,4,8,62
Image1315,1,6,1,112,1,69,3,1,1,115
Image1316,10,2,1,105,1,70,2,20,31,68
Image1317,100,21,34,3,67,10,43,28,1,3
Image1318,1,7,116,1,62,19,30,72,1,1
Image1319,37,1,75,1,102,26,31,35,1,1
Image1320,32,11,1,10,1,77,31,32,114,1
Image1321,3,4,11,8,1,26,2,68,182,5
Image1322,13,1,4,253,1,1,25,1,1,10
Image1323,1,15,64,19,1,69,42,97,1,1
Image1324,63,14,16,1,13,34,1,2,70,96
Image1325,43,5,1,28,1,51,5,1,110,65
Image1326,78,2,1,3,1,80,1,5,90,49
Image1327,10,1,1,11,1,1,1,1,227,56
Image1328,50,31,4,26,61,35,69,24,9,1
Image1329,96,29,17,16,3,89,21,19,2,18
Image1330,37,5,50,4,24,81,15,34,59,1
Image1331,1,15,1,99,1,118,69,4,1,1
Image1332,106,3,1,43,1,10,4,1,7,134
Image1333,13,69,51,19,2,1,109,14,19,13
Image1334,11,8,33,115,1,62,48,23,8,1
Image1335,29,15,2,62,1,114,8,53,18,8
Image1336,122,1,14,6,3,62,44,29,24,5
Image1337,69,12,3,62,1,68,6,72,16,1
Image1338,1,78,27,26,1,1,12,97,46,21
Image1339,58,13,1,5,1,82,12,40,2,96
Image1340,1,10,12,105,1,126,37,16,1,1
Image1341,52,23,1,4,1,137,5,25,54,8
Image1342,5,13,116,1,1,150,1,9,13,1
Image1343,38,16,41,73,19,7,29,10,1,76
Image1344,2,11,47,1,5,59,27,155,1,2
Image1345,3,30,96,1,46,43,2,87,1,1
Image1346,47,17,1,115,1,37,23,64,3,2
Image1347,1,15,39,106,3,2,111,29,1,3
Image1348,37,8,1,79,1,33,31,1,3,116
Image1349,6,2,9,1,96,1,1,1,192,1
Image1350,17,1,87,75,59,1,66,1,2,1
Image1351,165,1,22,7,29,1,5,37,42,1
Image1352,97,5,7,10,65,31,32,61,1,1
Image1353,45,15,41,27,73,10,6,23,69,1
Image1354,12,99,59,28,1,51,32,26,1,1
Image1355,101,1,132,45,1,1,16,5,7,1
Image1356,120,3,4,96,19,1,32,16,18,1
Image1357,1,1,29,1,3,1,1,271,1,1
Image1358,2,32,33,28,8,85,23,97,1,1
Image1359,1,28,71,1,1,115,16,75,1,1
Image1360,2,19,2,27,34,118,33,70,1,4
Image1361,1,15,1,58,71,56,1,63,1,43
Image1362,27,37,20,131,7,1,18,57,7,5
Image1363,68,10,2,46,9,65,1,72,31,6
Image1364,113,1,11,1,15,34,9,25,100,1
Image1365,75,4,3,5,12,62,15,75,57,2
Image1366,20,31,81,16,1,32,21,25,79,4
Image1367,3,35,57,1,1,22,89,58,1,43
Image1368,1,43,122,1,1,43,12,51,1,35
Image1369,96,37,79,11,7,1,32,40,2,5
Image1370,28,11,1,141,1,57,67,1,1,2
Image1371,123,18,5,63,1,79,4,1,7,9
Image1372,71,4,9,110,2,61,29,1,3,20
Image1373,1,8,25,141,1,23,90,7,1,13
Image1374,13,13,65,135,3,56,6,15,2,2
Image1375,1,25,129,9,1,24,67,30,1,23
Image1376,62,12,38,38,3,78,46,6,25,2
Image1377,113,4,15,52,1,27,20,66,11,1
Image1378,79,2,1,5,52,62,1,25,81,2
Image1379,7,141,1,42,20,29,4,54,1,11
Image1380,8,4,11,47,123,6,68,39,1,3
Image1381,103,1,1,5,1,1,6,1,172,19
Image1382,14,21,7,87,1,8,50,120,1,1
Image1383,52,38,39,16,12,1,1,87,59,5
Image1384,7,3,118,1,21,78,1,79,1,1
Image1385,2,7,22,161,15,1,2,98,1,1
Image1386,45,19,41,82,1,5,7,102,7,1
Image1387,22,38,1,114,1,66,15,30,9,14
Image1388,1,21,2,8,1,105,59,109,1,3
Image1389,1,16,87,1,1,83,64,54,1,2
Image1390,3,9,34,110,1,5,10,136,1,1
Image1391,13,5,25,15,1,67,129,27,1,27
Image1392,24,6,1,164,1,39,3,70,1,1
Image1393,1,2,62,1,8,141,5,72,1,17
Image1394,1,35,12,64,1,51,24,120,1,1
Image1395,20,22,46,43,1,65,16,89,7,1
Image1396,1,5,1,158,1,1,139,1,1,2
Image1397,1,81,4,118,1,54,4,25,1,21
Image1398,113,3,1,6,1,1,42,1,53,89
Image1399,75,21,41,55,1,5,10,96,5,1
Image1400,8,7,50,92,1,16,51,77,7,1
Image1401,1,7,1,71,1,75,1,21,131,1
Image1402,2,41,72,44,1,70,40,38,1,1
Image1403,1,61,3,31,1,48,3,160,1,1
Image1404,1,50,68,73,1,16,16,70,1,14
Image1405,10,7,4,167,1,2,18,99,1,1
Image1406,1,46,4,65,1,73,38,55,1,26
Image1407,1,17,1,97,1,30,94,66,1,2
Image1408,7,36,19,81,1,48,52,64,1,1
Image1409,58,18,2,79,1,1,76,32,42,1
Image1410,25,7,26,140,1,28,45,34,2,2
Image1411,54,18,1,201,1,5,9,8,8,5
Image1412,8,26,1,76,1,54,11,83,1,49
Image1413,135,25,27,1,30,38,5,8,1,40
Image1414,52,16,1,49,1,77,21,91,1,1
Image1415,40,1,56,1,41,44,94,31,1,1
Image1416,35,1,84,10,19,14,93,32,1,21
Image1417,29,4,2,1,1,20,173,32,1,47
Image1418,31,1,15,1,1,27,113,41,1,79
Image1419,90,3,30,14,62,7,18,21,25,40
Image1420,1,47,17,58,1,93,20,71,1,1
Image1421,75,1,2,81,99,11,3,30,7,1
Image1422,6,51,117,62,1,3,12,50,1,7
Image1423,1,24,3,114,1,113,37,11,1,5
Image1424,116,22,14,13,1,39,56,9,9,31
Image1425,4,1,1,213,1,39,7,1,1,42
Image1426,61,6,2,1,1,25,137,45,1,31
Image1427,40,15,1,92,1,30,47,30,2,52
Image1428,1,1,144,1,1,126,1,33,1,1
Image1429,53,15,13,2,3,32,44,59,88,1
Image1430,104,22,12,12,2,40,33,32,50,3
Image1431,4,14,2,130,1,33,4,44,1,77
Image1432,1,37,1,93,1,100,15,58,1,3
Image1433,91,23,62,6,1,1,17,84,15,10
Image1434,76,5,3,26,11,89,5,57,35,3
Image1435,98,4,11,2,1,69,11,2,106,6
Image1436,22,11,75,29,77,5,8,81,1,1
Image1437,1,13,1,75,1,107,2,67,1,42
Image1438,23,17,57,20,1,114,61,6,1,10
Image1439,39,41,4,96,37,3,9,67,10,4
Image1440,26,19,48,23,2,125,25,40,1,1
Image1441,1,10,1,197,1,69,5,24,1,1
Image1442,9,17,20,14,1,96,26,105,19,3
Image1443,12,12,37,3,1,26,24,74,91,30
Image1444,36,66,8,50,4,41,42,56,1,6
Image1445,19,8,1,16,1,30,12,62,94,67
Image1446,17,12,3,31,1,32,8,17,134,55
Image1447,36,8,18,7,4,3,30,37,96,71
Image1448,23,20,10,15,1,35,8,91,104,3
Image1449,9,1,1,12,1,1,1,1,175,108
Image1450,10,16,15,122,1,93,29,9,2,13
Image1451,1,6,3,119,1,158,12,8,1,1
Image1452,13,1,19,1,187,37,1,49,1,1
Image1453,88,5,35,1,1,84,63,31,1,1
Image1454,3,2,19,5,14,50,124,91,1,1
Image1455,2,25,147,114,1,1,16,1,2,1
Image1456,31,6,23,91,1,29,47,15,41,26
Image1457,66,12,7,12,8,15,10,44,133,3
Image1458,65,8,2,124,1,8,30,17,1,54
Image1459,30,11,9,61,47,13,50,59,29,1
Image1460,76,1,14,53,64,33,15,42,3,9
Image1461,14,3,1,26,1,2,1,1,188,73
Image1462,95,9,1,71,1,9,19,82,22,1
Image1463,87,2,45,1,47,61,33,30,2,2
Image1464,108,1,1,78,1,1,117,1,1,1
Image1465,29,26,1,174,1,37,33,5,1,3
Image1466,14,44,1,133,1,1,31,79,2,4
Image1467,7,44,24,119,1,61,27,21,1,5
